brand_id,brand,p_id,name,price,colour,ratingCount,avg_rating
962.0,vishudh,14739168.0,vishudh lime green & white geometric mandarin collar pure cotton cinched waist top,999.0,lime green,505.0,4.281188119
750.0,roadster,15202818.0,roadster women green ribbed knit co-ords set,2199.0,green,116.0,4.146551724
133.0,biba,17740662.0,biba pink & blue printed pure cotton unstitched dress material,899.0,pink,76.0,4.170498084
596.0,montrez,18548534.0,montrez women blue denim solid skirts,1499.0,blue,36.0,4.194444444
931.0,urbanic,18644816.0,urbanic women brown solid single-breasted casual blazer,2690.0,brown,11.0,4.454545455
832.0,soch,18704418.0,soch women red thread work georgette anarkali kurta,3498.0,red,18.75,4.4659090912499995
632.0,nirja fab,18745050.0,nirja fab pink embellished sequinned saree,3699.0,pink,26.5,4.4772727275
850.0,stylum,18802576.0,stylum pink & white printed bandhani dupatta,1499.0,pink,34.25,4.48863636375
151.0,broadstar,18878894.0,broadstar women black straight fit high-rise easy wash trousers,2999.0,black,42.0,4.5
292.0,fashionuma,18969040.0,fashionuma maroon & grey printed sequinned ready to wear lehenga & unstitched blouse with dupatta,3699.0,maroon,307.25,4.3591341795
555.0,max,19044600.0,max women purple windcheater tailored jacket with embroidered,1199.0,purple,572.5,4.218268359
863.0,sweet dreams,19231232.0,sweet dreams women grey humor & comic printed sweatshirt,1399.0,grey,837.75,4.0774025385
750.0,roadster,2322605.0,roadster time travlr women blue boyfriend fit mid-rise low distress jeans,2299.0,blue,1103.0,3.936536718
171.0,chemistry,8506567.0,chemistry blue denim a-line pure cotton skirt,1699.0,blue,897.0,4.132664437
903.0,tokyo talkies,10742414.0,tokyo talkies women blue solid denim jacket,1699.0,blue,1135.0,4.241409692
715.0,quiero,11157052.0,quiero black & white embroidered top,1789.0,black,4161.0,4.473443884
783.0,sassafras,11364534.0,sassafras women mustard yellow solid longline shirt style shrug,1799.0,mustard,411.0,4.296836983
903.0,tokyo talkies,12828116.0,tokyo talkies women navy blue striped double-breasted casual pure cotton blazer,1999.0,navy blue,544.0,4.016544118
171.0,chemistry,13186664.0,chemistry women blue solid culotte chambray jumpsuit,2399.0,blue,236.0,4.18220339
968.0,w,13407470.0,w women teal blue & golden sustainable top with skirt,6999.0,teal,182.0,4.313186813
509.0,libas,14046594.0,libas women navy blue pure cotton floral print kurta with palazzos & dupatta,3599.0,navy blue,8695.0,4.435652674
971.0,weavers villa,14191740.0,weavers villa white embroidered dupatta,799.0,white,274.0,4.609489051
444.0,kalini,16697006.0,kalini maroon & gold ethnic motifs zari silk blend banarasi saree,2099.0,maroon,1464.0,3.893442623
353.0,h&m,16849312.0,h&m women black solid cropped zip-through hoodie,1499.0,black,102.0,4.715686275
79.0,anubhutee,17413170.0,anubhutee black & gold-toned ethnic motifs printed kurti,1739.0,black,114.0,4.456140351
424.0,jatriqq,17654774.0,jatriqq green embellished silk georgette semi-stitched dress material,5999.0,green,16.0,3.8125
205.0,cutiekins,18791212.0,cutiekins girls pink & white sequence net ready to wear lehenga & blouse with dupatta,2999.0,pink,9.0,3.222222222
848.0,styli,18888534.0,styli women red animal printed tulip skirts,1749.0,red,7.5,4.0277777775
