brand,colour,avg_rating
indo era,blue,4.299941759
readiprint fashions,grey,4.6
inddus,multi,4.171428571
tokyo talkies,rose,4.393617021
purys,pink,4.184210526
bewakoof,white,4.857142857
urbanic,black,3.8
soch,green,3.887645108
mango,black,3.975290216
bostreet,green,4.062935324
h&m,orange,4.150580431
apratim,red,4.238225539
tokyo talkies,black,4.325870647
scorpius,orange,3.5
roadster,peach,4.371621622
berrylush,yellow,4.457446809
berrylush,sea green,4.065868263
here&now,black,4.5
anouk,pink,4.084249084
mitera,blue,3.472727273
qomn,white,4.259259259
elleven,red,4.29297246
sangria,green,4.32668566
mango,black,4.360398861
fashion basket,maroon,4.394112061
lc waikiki,black,4.427825262
addyvero,burgundy,4.461538462
max,cream,4.33568213
taavi,mustard,4.083969466
tokyo talkies,teal,4.139562743
marks & spencer,navy blue,4.388888889
roadster,navy blue,3.822372284
rajnandini,beige,4.175324675
anouk,red,3.65
rajnandini,grey,4.375
mast & harbour,maroon,4.481617647
inddus,teal,4.588235294
clora creation,yellow,4.044117647
kassually,black,3.5
vishudh,cream,4.276923077
montrez,blue,4.194444444
forever 21,blue,4.241619125
coastland,mustard,4.288793806
max,black,4.335968486
toulin,teal,4.383143167
chemistry,brown,4.430317848
allen solly woman,black,3.953125
purple state,blue,4.333333333
varanga,white,3.751404494
pashmoda,black,4.495575221
ishin,red,4.204935174
berrylush,red,4.112612613
bitiya by bhama,pink,3.987341772
biba,pink,3.928856071
athena,fuchsia,3.87037037
saree mall,green,4.108433735
h&m,grey,4.52
kassually,blue,4.444444444
flying machine,white,4.291666667
v-mart,red,4.247711039
styli,black,4.203755411
kalini,red,4.159799784
roadster,blue,4.115844156
zastraa,black,4.192307692
nayo,peach,4.091139241
kassually,yellow,4.274413099
vishudh,black,3.878125
leather retail,brown,4.142857143
libas,maroon,4.310539019
sassafras,white,4.269230769
mast & harbour,purple,4.356837607
puma,olive,4.444444444
all about you,pink,4.512820513
house of pataudi,red,4
sassafras,green,4.277777778
moda chales,maroon,4.289986559
soch,magenta,4.302195341
b.copenhagen,teal,4.314404122
tokyo talkies,blue,4.326612903
tokyo talkies,black,3.915567282
roadster,black,4.060150376
panchhi,mustard,4.484848485
athena,black,4.28226445
mango,green,4.269440164
nayo,pink,4.256615878
deebaco,off white,3.722222222
mitera,mauve,4.143478261
chhabra 555,beige,4.137395696
vishudh,pink,4.131313131
sangria,beige,3.628156566
inddus,rose,3.125
flying machine,blue,3.694078948
h&m,black,4.263157895
ginger by lifestyle,blue,4.10877193
myshka,green,3.954385965
biba,beige,3.8
style quotient,white,4.095238095
tokyo talkies,burgundy,4.23880597
taavi,multi,4.857142857
shae by sassafras,purple,4.373737374
mast & harbour,off white,4.262013196
saree mall,blue,4.150289017
juniper,pink,4.1875
roadster,grey,4.219824498
shinoy,black,4.252148997
h&m,yellow,4.052631579
fablestreet,pink,4.20131579
virah fashion,lime green,4.35
alaya by stage3,orange,4.342391681
jatriqq,lavender,4.334783362
sumavi-fashion,blue,4.327175044
mameraa,yellow,4.319566725
tokyo talkies,navy blue,4.311958406
scorpius,pink,3.482300885
indo era,burgundy,4.222585692
roadster,blue,4.40600316
shae by sassafras,navy blue,4.428571429
98 degree north,black,4.457831325
urbanic,grey,4.076137885
popnetic,black,3.694444444
roadster,purple,4.285714286
mitera,beige,4.155844156
dupatta bazaar,green,4.19091566
la aimee,white,4.225987163
gerua,green,4.261058667
minos,yellow,4.296130171
